waypoint1	waypoint2	distance_m	duration_s
Mt.Wilson, Colorado	Crestone, Colorado	366323	16530
Mt.Wilson, Colorado	Mt.Bross, Colorado	413762	18631
Mt.Wilson, Colorado	KitCarson, Colorado	653717	27653
Mt.Wilson, Colorado	Tabeguache Peak, Colorado	301622	14915
Mt.Wilson, Colorado	Mt.Oxford, Colorado	371638	16989
Mt.Wilson, Colorado	ElDiente Peak, Colorado	8	1
Mt.Wilson, Colorado	Mt.Democrat, Colorado	409336	18319
Mt.Wilson, Colorado	Mt.Sneffels, Colorado	92431	6996
Mt.Wilson, Colorado	Pikes Peak, Colorado	495561	22933
Mt.Wilson, Colorado	SnowmassMtn., Colorado	261141	13933
Mt.Wilson, Colorado	Challenger Point, Colorado	369949	17158
Mt.Wilson, Colorado	Mt.Columbia, Colorado	352262	16716
Mt.Wilson, Colorado	Humboldt Peak, Colorado	410596	20263
Mt.Wilson, Colorado	Mt.Bierstadt, Colorado	456745	20309
Mt.Wilson, Colorado	Conundrum Peak, Colorado	339109	16957
Mt.Wilson, Colorado	Handies Peak, Colorado	104639	10120
Mt.Wilson, Colorado	Culebra Peak, Colorado	499465	22747
Mt.Wilson, Colorado	Mt.Lindsey, Colorado	463534	20669
Mt.Wilson, Colorado	LittleBear Peak, Colorado	433475	20625
Mt.Wilson, Colorado	Mt.Sherman, Colorado	405333	18773
Mt.Wilson, Colorado	Redcloud Peak, Colorado	292627	15884
Mt.Wilson, Colorado	Pyramid Peak, Colorado	331960	17141
Mt.Wilson, Colorado	NorthMaroon Peak, Colorado	331993	17134
Mt.Wilson, Colorado	Wilson Peak, Colorado	10	1
Mt.Wilson, Colorado	Wetterhorn Peak, Colorado	282145	16273
Mt.Wilson, Colorado	Huron Peak, Colorado	382477	18533
Mt.Wilson, Colorado	Sunshine Peak, Colorado	289678	15224
Mt.Cameron, Colorado	Mt.Shavano, Colorado	132753	6676
Mt.Cameron, Colorado	Mt.Princeton, Colorado	102074	6528
Mt.Cameron, Colorado	Mt.Belford, Colorado	118580	6064
Mt.Yale, Colorado	Mt.Cameron, Colorado	101004	5042
Mt.Cameron, Colorado	Crestone, Colorado	198291	8407
Mt.Cameron, Colorado	Mt.Bross, Colorado	259	26
KitCarson, Colorado	Mt.Cameron, Colorado	342469	14003
Tabeguache Peak, Colorado	Mt.Cameron, Colorado	134281	7056
Mt.Cameron, Colorado	Mt.Oxford, Colorado	116303	5827
Mt.Cameron, Colorado	ElDiente Peak, Colorado	414058	18695
Mt.Cameron, Colorado	Mt.Democrat, Colorado	22355	2060
Mt.Cameron, Colorado	Mt.Sneffels, Colorado	386167	18292
Pikes Peak, Colorado	Mt.Cameron, Colorado	171163	9214
Mt.Cameron, Colorado	SnowmassMtn., Colorado	259326	13394
Challenger Point, Colorado	Mt.Cameron, Colorado	201917	9035
Mt.Columbia, Colorado	Mt.Cameron, Colorado	96927	5554
Humboldt Peak, Colorado	Mt.Cameron, Colorado	219742	11281
Mt.Bierstadt, Colorado	Mt.Cameron, Colorado	88802	5041
Conundrum Peak, Colorado	Mt.Cameron, Colorado	208118	11336
Mt.Cameron, Colorado	Handies Peak, Colorado	338554	21942
Culebra Peak, Colorado	Mt.Cameron, Colorado	331433	14623
Mt.Cameron, Colorado	Mt.Lindsey, Colorado	295502	12545
LittleBear Peak, Colorado	Mt.Cameron, Colorado	265443	12501
Mt.Sherman, Colorado	Mt.Cameron, Colorado	103889	6992
Redcloud Peak, Colorado	Mt.Cameron, Colorado	326366	16450
Pyramid Peak, Colorado	Mt.Cameron, Colorado	200969	11521
NorthMaroon Peak, Colorado	Mt.Cameron, Colorado	201002	11514
Wilson Peak, Colorado	Mt.Cameron, Colorado	414041	18693
Wetterhorn Peak, Colorado	Mt.Cameron, Colorado	315884	16840
Huron Peak, Colorado	Mt.Cameron, Colorado	127143	7371
Sunshine Peak, Colorado	Mt.Cameron, Colorado	323416	15790
Mt.Shavano, Colorado	Mt.Princeton, Colorado	76120	5686
Mt.Belford, Colorado	Mt.Shavano, Colorado	92626	5223
Mt.Yale, Colorado	Mt.Shavano, Colorado	75050	4200
Crestone, Colorado	Mt.Shavano, Colorado	104409	4991
Mt.Bross, Colorado	Mt.Shavano, Colorado	132473	6627
KitCarson, Colorado	Mt.Shavano, Colorado	372428	15650
Tabeguache Peak, Colorado	Mt.Shavano, Colorado	1528	380
Mt.Shavano, Colorado	Mt.Oxford, Colorado	90349	4986
ElDiente Peak, Colorado	Mt.Shavano, Colorado	300110	14536
Mt.Democrat, Colorado	Mt.Shavano, Colorado	128047	6315
Mt.Sneffels, Colorado	Mt.Shavano, Colorado	272219	14133
Pikes Peak, Colorado	Mt.Shavano, Colorado	214272	10930
Mt.Shavano, Colorado	SnowmassMtn., Colorado	261898	14840
Challenger Point, Colorado	Mt.Shavano, Colorado	108035	5619
Mt.Columbia, Colorado	Mt.Shavano, Colorado	70973	4713
Humboldt Peak, Colorado	Mt.Shavano, Colorado	129307	8260
Mt.Bierstadt, Colorado	Mt.Shavano, Colorado	175456	8306
Conundrum Peak, Colorado	Mt.Shavano, Colorado	182164	10495
Mt.Shavano, Colorado	Handies Peak, Colorado	224607	17783
Culebra Peak, Colorado	Mt.Shavano, Colorado	237551	11207
Mt.Shavano, Colorado	Mt.Lindsey, Colorado	201620	9130
LittleBear Peak, Colorado	Mt.Shavano, Colorado	171561	9085
Mt.Sherman, Colorado	Mt.Shavano, Colorado	124044	6770
Redcloud Peak, Colorado	Mt.Shavano, Colorado	212418	12290
Pyramid Peak, Colorado	Mt.Shavano, Colorado	175015	10680
NorthMaroon Peak, Colorado	Mt.Shavano, Colorado	175048	10673
Wilson Peak, Colorado	Mt.Shavano, Colorado	300093	14533
Wetterhorn Peak, Colorado	Mt.Shavano, Colorado	201936	12680
Huron Peak, Colorado	Mt.Shavano, Colorado	101189	6530
Sunshine Peak, Colorado	Mt.Shavano, Colorado	209468	11631
Mt.Belford, Colorado	Mt.Princeton, Colorado	56794	4909
Mt.Yale, Colorado	Mt.Princeton, Colorado	36779	3658
Crestone, Colorado	Mt.Princeton, Colorado	128402	6975
Mt.Bross, Colorado	Mt.Princeton, Colorado	101939	6549
KitCarson, Colorado	Mt.Princeton, Colorado	355044	15641
Tabeguache Peak, Colorado	Mt.Princeton, Colorado	64392	5624
Mt.Oxford, Colorado	Mt.Princeton, Colorado	54517	4672
ElDiente Peak, Colorado	Mt.Princeton, Colorado	344170	17264
Mt.Democrat, Colorado	Mt.Princeton, Colorado	97513	6238
Mt.Sneffels, Colorado	Mt.Princeton, Colorado	316278	16861
Pikes Peak, Colorado	Mt.Princeton, Colorado	183738	10852
SnowmassMtn., Colorado	Mt.Princeton, Colorado	226067	14526
Challenger Point, Colorado	Mt.Princeton, Colorado	132028	7603
Mt.Columbia, Colorado	Mt.Princeton, Colorado	35204	4321
Humboldt Peak, Colorado	Mt.Princeton, Colorado	147723	10095
Mt.Bierstadt, Colorado	Mt.Princeton, Colorado	144922	8228
Conundrum Peak, Colorado	Mt.Princeton, Colorado	146332	10181
Handies Peak, Colorado	Mt.Princeton, Colorado	268666	20511
Culebra Peak, Colorado	Mt.Princeton, Colorado	261544	13191
Mt.Lindsey, Colorado	Mt.Princeton, Colorado	225613	11114
LittleBear Peak, Colorado	Mt.Princeton, Colorado	195555	11069
Mt.Sherman, Colorado	Mt.Princeton, Colorado	88213	6456
Redcloud Peak, Colorado	Mt.Princeton, Colorado	256477	15018
Pyramid Peak, Colorado	Mt.Princeton, Colorado	139184	10366
NorthMaroon Peak, Colorado	Mt.Princeton, Colorado	139217	10359
Wilson Peak, Colorado	Mt.Princeton, Colorado	344152	17261
Wetterhorn Peak, Colorado	Mt.Princeton, Colorado	245995	15408
Huron Peak, Colorado	Mt.Princeton, Colorado	65357	6216
Sunshine Peak, Colorado	Mt.Princeton, Colorado	253527	14359
Mt.Yale, Colorado	Mt.Belford, Colorado	53210	3139
Mt.Belford, Colorado	Crestone, Colorado	158112	6921
Mt.Bross, Colorado	Mt.Belford, Colorado	118448	6024
KitCarson, Colorado	Mt.Belford, Colorado	371553	15115
Tabeguache Peak, Colorado	Mt.Belford, Colorado	94102	5571
Mt.Belford, Colorado	Mt.Oxford, Colorado	2277	238
Mt.Belford, Colorado	ElDiente Peak, Colorado	373880	17210
Mt.Democrat, Colorado	Mt.Belford, Colorado	114022	5712
Mt.Belford, Colorado	Mt.Sneffels, Colorado	345988	16807
Pikes Peak, Colorado	Mt.Belford, Colorado	200247	10326
Mt.Belford, Colorado	SnowmassMtn., Colorado	192118	11990
Challenger Point, Colorado	Mt.Belford, Colorado	161739	7549
Mt.Columbia, Colorado	Mt.Belford, Colorado	43302	3266
Humboldt Peak, Colorado	Mt.Belford, Colorado	177433	10041
Mt.Bierstadt, Colorado	Mt.Belford, Colorado	161431	7702
Conundrum Peak, Colorado	Mt.Belford, Colorado	112383	7645
Mt.Belford, Colorado	Handies Peak, Colorado	298376	20457
Culebra Peak, Colorado	Mt.Belford, Colorado	291254	13138
Mt.Belford, Colorado	Mt.Lindsey, Colorado	255323	11060
LittleBear Peak, Colorado	Mt.Belford, Colorado	225265	11015
Mt.Sherman, Colorado	Mt.Belford, Colorado	54264	3920
Redcloud Peak, Colorado	Mt.Belford, Colorado	286187	14965
Pyramid Peak, Colorado	Mt.Belford, Colorado	105235	7830
NorthMaroon Peak, Colorado	Mt.Belford, Colorado	105268	7823
Wilson Peak, Colorado	Mt.Belford, Colorado	373862	17207
Wetterhorn Peak, Colorado	Mt.Belford, Colorado	275705	15354
Huron Peak, Colorado	Mt.Belford, Colorado	8563	1307
Sunshine Peak, Colorado	Mt.Belford, Colorado	283238	14305
Mt.Yale, Colorado	Crestone, Colorado	140543	5944
Mt.Yale, Colorado	Mt.Bross, Colorado	100879	5047
KitCarson, Colorado	Mt.Yale, Colorado	353984	14138
Tabeguache Peak, Colorado	Mt.Yale, Colorado	76533	4594
Mt.Yale, Colorado	Mt.Oxford, Colorado	50939	2956
Mt.Yale, Colorado	ElDiente Peak, Colorado	356311	16233
Mt.Yale, Colorado	Mt.Democrat, Colorado	96453	4735
Mt.Yale, Colorado	Mt.Sneffels, Colorado	328419	15830
Mt.Yale, Colorado	Pikes Peak, Colorado	182678	9349
Mt.Yale, Colorado	SnowmassMtn., Colorado	222489	12810
Challenger Point, Colorado	Mt.Yale, Colorado	144169	6572
Mt.Yale, Colorado	Mt.Columbia, Colorado	26152	2292
Humboldt Peak, Colorado	Mt.Yale, Colorado	159864	9064
Mt.Bierstadt, Colorado	Mt.Yale, Colorado	143862	6725
Conundrum Peak, Colorado	Mt.Yale, Colorado	142754	8466
Mt.Yale, Colorado	Handies Peak, Colorado	280807	19480
Culebra Peak, Colorado	Mt.Yale, Colorado	273685	12161
Mt.Yale, Colorado	Mt.Lindsey, Colorado	237754	10083
LittleBear Peak, Colorado	Mt.Yale, Colorado	207696	10039
Mt.Sherman, Colorado	Mt.Yale, Colorado	84635	4741
Redcloud Peak, Colorado	Mt.Yale, Colorado	268618	13988
Mt.Yale, Colorado	Pyramid Peak, Colorado	135606	8651
Mt.Yale, Colorado	NorthMaroon Peak, Colorado	135639	8644
Wilson Peak, Colorado	Mt.Yale, Colorado	356293	16231
Wetterhorn Peak, Colorado	Mt.Yale, Colorado	258136	14377
Huron Peak, Colorado	Mt.Yale, Colorado	61779	4500
Sunshine Peak, Colorado	Mt.Yale, Colorado	265669	13328
Mt.Bross, Colorado	Crestone, Colorado	197842	8306
KitCarson, Colorado	Crestone, Colorado	448938	16383
Tabeguache Peak, Colorado	Crestone, Colorado	105824	5330
Crestone, Colorado	Mt.Oxford, Colorado	155718	6664
ElDiente Peak, Colorado	Crestone, Colorado	366340	16530
Mt.Democrat, Colorado	Crestone, Colorado	193416	7994
Mt.Sneffels, Colorado	Crestone, Colorado	338448	16127
Pikes Peak, Colorado	Crestone, Colorado	279641	12608
Crestone, Colorado	SnowmassMtn., Colorado	327267	16518
Challenger Point, Colorado	Crestone, Colorado	3869	718
Mt.Columbia, Colorado	Crestone, Colorado	136341	6391
Humboldt Peak, Colorado	Crestone, Colorado	193126	9821
Mt.Bierstadt, Colorado	Crestone, Colorado	240825	9984
Conundrum Peak, Colorado	Crestone, Colorado	247533	12173
Crestone, Colorado	Handies Peak, Colorado	271176	18995
Culebra Peak, Colorado	Crestone, Colorado	173389	8207
Crestone, Colorado	Mt.Lindsey, Colorado	137458	6129
LittleBear Peak, Colorado	Crestone, Colorado	107399	6085
Mt.Sherman, Colorado	Crestone, Colorado	189413	8449
Redcloud Peak, Colorado	Crestone, Colorado	251895	12995
Pyramid Peak, Colorado	Crestone, Colorado	240384	12358
NorthMaroon Peak, Colorado	Crestone, Colorado	240417	12351
Wilson Peak, Colorado	Crestone, Colorado	366322	16528
Wetterhorn Peak, Colorado	Crestone, Colorado	248505	13892
Huron Peak, Colorado	Crestone, Colorado	166557	8208
Sunshine Peak, Colorado	Crestone, Colorado	248945	12336
KitCarson, Colorado	Mt.Bross, Colorado	342210	13976
Tabeguache Peak, Colorado	Mt.Bross, Colorado	134022	7029
Mt.Bross, Colorado	Mt.Oxford, Colorado	116044	5801
Mt.Bross, Colorado	ElDiente Peak, Colorado	413799	18669
Mt.Bross, Colorado	Mt.Democrat, Colorado	22096	2033
Mt.Bross, Colorado	Mt.Sneffels, Colorado	385908	18266
Pikes Peak, Colorado	Mt.Bross, Colorado	170904	9187
Mt.Bross, Colorado	SnowmassMtn., Colorado	259067	13367
Challenger Point, Colorado	Mt.Bross, Colorado	201658	9008
Mt.Columbia, Colorado	Mt.Bross, Colorado	96668	5528
Humboldt Peak, Colorado	Mt.Bross, Colorado	219484	11254
Mt.Bierstadt, Colorado	Mt.Bross, Colorado	88543	5014
Conundrum Peak, Colorado	Mt.Bross, Colorado	207859	11310
Mt.Bross, Colorado	Handies Peak, Colorado	338296	21916
Culebra Peak, Colorado	Mt.Bross, Colorado	331174	14596
Mt.Bross, Colorado	Mt.Lindsey, Colorado	295243	12519
LittleBear Peak, Colorado	Mt.Bross, Colorado	265184	12474
Mt.Sherman, Colorado	Mt.Bross, Colorado	103630	6965
Redcloud Peak, Colorado	Mt.Bross, Colorado	326107	16423
Pyramid Peak, Colorado	Mt.Bross, Colorado	200710	11495
NorthMaroon Peak, Colorado	Mt.Bross, Colorado	200743	11488
Wilson Peak, Colorado	Mt.Bross, Colorado	413782	18666
Wetterhorn Peak, Colorado	Mt.Bross, Colorado	315625	16813
Huron Peak, Colorado	Mt.Bross, Colorado	126884	7345
Sunshine Peak, Colorado	Mt.Bross, Colorado	323157	15764
KitCarson, Colorado	Tabeguache Peak, Colorado	375071	16244
KitCarson, Colorado	Mt.Oxford, Colorado	365523	15262
KitCarson, Colorado	ElDiente Peak, Colorado	654849	27883
KitCarson, Colorado	Mt.Democrat, Colorado	334041	13996
KitCarson, Colorado	Mt.Sneffels, Colorado	626958	27480
KitCarson, Colorado	Pikes Peak, Colorado	230113	10814
KitCarson, Colorado	SnowmassMtn., Colorado	571731	22426
KitCarson, Colorado	Challenger Point, Colorado	452550	17088
KitCarson, Colorado	Mt.Columbia, Colorado	346147	14989
Humboldt Peak, Colorado	KitCarson, Colorado	326020	14598
Mt.Bierstadt, Colorado	KitCarson, Colorado	331459	12666
KitCarson, Colorado	Conundrum Peak, Colorado	457338	20771
KitCarson, Colorado	Handies Peak, Colorado	579345	31130
Culebra Peak, Colorado	KitCarson, Colorado	388012	15687
KitCarson, Colorado	Mt.Lindsey, Colorado	334933	12936
LittleBear Peak, Colorado	KitCarson, Colorado	361703	15085
Mt.Sherman, Colorado	KitCarson, Colorado	416293	16024
Redcloud Peak, Colorado	KitCarson, Colorado	581918	25147
KitCarson, Colorado	Pyramid Peak, Colorado	450190	20956
KitCarson, Colorado	NorthMaroon Peak, Colorado	450223	20949
Wilson Peak, Colorado	KitCarson, Colorado	654831	27881
KitCarson, Colorado	Wetterhorn Peak, Colorado	556674	26027
KitCarson, Colorado	Huron Peak, Colorado	376363	16806
KitCarson, Colorado	Sunshine Peak, Colorado	578968	24487
Tabeguache Peak, Colorado	Mt.Oxford, Colorado	91877	5365
Tabeguache Peak, Colorado	ElDiente Peak, Colorado	301638	14916
Tabeguache Peak, Colorado	Mt.Democrat, Colorado	129575	6695
Tabeguache Peak, Colorado	Mt.Sneffels, Colorado	273747	14513
Tabeguache Peak, Colorado	Pikes Peak, Colorado	215801	11310
Tabeguache Peak, Colorado	SnowmassMtn., Colorado	263426	15219
Tabeguache Peak, Colorado	Challenger Point, Colorado	109563	5999
Tabeguache Peak, Colorado	Mt.Columbia, Colorado	72501	5092
Humboldt Peak, Colorado	Tabeguache Peak, Colorado	130835	8640
Mt.Bierstadt, Colorado	Tabeguache Peak, Colorado	176984	8686
Tabeguache Peak, Colorado	Conundrum Peak, Colorado	183692	10875
Tabeguache Peak, Colorado	Handies Peak, Colorado	226135	18163
Culebra Peak, Colorado	Tabeguache Peak, Colorado	239079	11587
Tabeguache Peak, Colorado	Mt.Lindsey, Colorado	203148	9510
LittleBear Peak, Colorado	Tabeguache Peak, Colorado	173090	9465
Mt.Sherman, Colorado	Tabeguache Peak, Colorado	125572	7150
Redcloud Peak, Colorado	Tabeguache Peak, Colorado	213946	12670
Tabeguache Peak, Colorado	Pyramid Peak, Colorado	176543	11060
Tabeguache Peak, Colorado	NorthMaroon Peak, Colorado	176576	11053
Wilson Peak, Colorado	Tabeguache Peak, Colorado	301621	14913
Tabeguache Peak, Colorado	Wetterhorn Peak, Colorado	203464	13060
Tabeguache Peak, Colorado	Huron Peak, Colorado	102717	6909
Tabeguache Peak, Colorado	Sunshine Peak, Colorado	210996	12010
ElDiente Peak, Colorado	Mt.Oxford, Colorado	371603	16973
Mt.Democrat, Colorado	Mt.Oxford, Colorado	111745	5474
Mt.Sneffels, Colorado	Mt.Oxford, Colorado	343711	16569
Pikes Peak, Colorado	Mt.Oxford, Colorado	197970	10089
SnowmassMtn., Colorado	Mt.Oxford, Colorado	189841	11752
Challenger Point, Colorado	Mt.Oxford, Colorado	159462	7312
Mt.Columbia, Colorado	Mt.Oxford, Colorado	41024	3029
Humboldt Peak, Colorado	Mt.Oxford, Colorado	175156	9804
Mt.Bierstadt, Colorado	Mt.Oxford, Colorado	159154	7465
Conundrum Peak, Colorado	Mt.Oxford, Colorado	110106	7407
Handies Peak, Colorado	Mt.Oxford, Colorado	296099	20220
Culebra Peak, Colorado	Mt.Oxford, Colorado	288977	12900
Mt.Lindsey, Colorado	Mt.Oxford, Colorado	253046	10822
LittleBear Peak, Colorado	Mt.Oxford, Colorado	222988	10778
Mt.Sherman, Colorado	Mt.Oxford, Colorado	51987	3682
Redcloud Peak, Colorado	Mt.Oxford, Colorado	283910	14727
Pyramid Peak, Colorado	Mt.Oxford, Colorado	102958	7592
NorthMaroon Peak, Colorado	Mt.Oxford, Colorado	102991	7585
Wilson Peak, Colorado	Mt.Oxford, Colorado	371585	16970
Wetterhorn Peak, Colorado	Mt.Oxford, Colorado	273428	15117
Huron Peak, Colorado	Mt.Oxford, Colorado	10840	1544
Sunshine Peak, Colorado	Mt.Oxford, Colorado	280961	14067
Mt.Democrat, Colorado	ElDiente Peak, Colorado	409344	18320
Mt.Sneffels, Colorado	ElDiente Peak, Colorado	92439	6997
Pikes Peak, Colorado	ElDiente Peak, Colorado	495569	22934
ElDiente Peak, Colorado	SnowmassMtn., Colorado	261149	13934
Challenger Point, Colorado	ElDiente Peak, Colorado	369957	17159
Mt.Columbia, Colorado	ElDiente Peak, Colorado	352269	16717
Humboldt Peak, Colorado	ElDiente Peak, Colorado	410604	20264
Mt.Bierstadt, Colorado	ElDiente Peak, Colorado	456753	20310
Conundrum Peak, Colorado	ElDiente Peak, Colorado	339116	16959
ElDiente Peak, Colorado	Handies Peak, Colorado	104646	10121
Culebra Peak, Colorado	ElDiente Peak, Colorado	499473	22748
ElDiente Peak, Colorado	Mt.Lindsey, Colorado	463542	20670
LittleBear Peak, Colorado	ElDiente Peak, Colorado	433483	20626
Mt.Sherman, Colorado	ElDiente Peak, Colorado	405341	18775
Redcloud Peak, Colorado	ElDiente Peak, Colorado	292635	15885
Pyramid Peak, Colorado	ElDiente Peak, Colorado	331968	17143
NorthMaroon Peak, Colorado	ElDiente Peak, Colorado	332001	17136
Wilson Peak, Colorado	ElDiente Peak, Colorado	18	3
Wetterhorn Peak, Colorado	ElDiente Peak, Colorado	282153	16274
Huron Peak, Colorado	ElDiente Peak, Colorado	382485	18534
Sunshine Peak, Colorado	ElDiente Peak, Colorado	289685	15225
Mt.Democrat, Colorado	Mt.Sneffels, Colorado	381482	17923
Pikes Peak, Colorado	Mt.Democrat, Colorado	166478	8844
Mt.Democrat, Colorado	SnowmassMtn., Colorado	265627	13527
Challenger Point, Colorado	Mt.Democrat, Colorado	197232	8665
Mt.Columbia, Colorado	Mt.Democrat, Colorado	92242	5185
Humboldt Peak, Colorado	Mt.Democrat, Colorado	215058	10911
Mt.Bierstadt, Colorado	Mt.Democrat, Colorado	84117	4671
Conundrum Peak, Colorado	Mt.Democrat, Colorado	203433	10967
Mt.Democrat, Colorado	Handies Peak, Colorado	333870	21573
Culebra Peak, Colorado	Mt.Democrat, Colorado	326748	14253
Mt.Democrat, Colorado	Mt.Lindsey, Colorado	290817	12176
LittleBear Peak, Colorado	Mt.Democrat, Colorado	260758	12131
Mt.Sherman, Colorado	Mt.Democrat, Colorado	110190	7126
Redcloud Peak, Colorado	Mt.Democrat, Colorado	321681	16080
Pyramid Peak, Colorado	Mt.Democrat, Colorado	196284	11152
NorthMaroon Peak, Colorado	Mt.Democrat, Colorado	196317	11145
Wilson Peak, Colorado	Mt.Democrat, Colorado	409356	18323
Wetterhorn Peak, Colorado	Mt.Democrat, Colorado	311199	16470
Huron Peak, Colorado	Mt.Democrat, Colorado	122458	7002
Sunshine Peak, Colorado	Mt.Democrat, Colorado	318731	15421
Pikes Peak, Colorado	Mt.Sneffels, Colorado	467642	22553
Mt.Sneffels, Colorado	SnowmassMtn., Colorado	233222	13552
Challenger Point, Colorado	Mt.Sneffels, Colorado	342030	16778
Mt.Columbia, Colorado	Mt.Sneffels, Colorado	324342	16335
Humboldt Peak, Colorado	Mt.Sneffels, Colorado	382676	19883
Mt.Bierstadt, Colorado	Mt.Sneffels, Colorado	428825	19929
Conundrum Peak, Colorado	Mt.Sneffels, Colorado	311189	16577
Mt.Sneffels, Colorado	Handies Peak, Colorado	42307	7983
Culebra Peak, Colorado	Mt.Sneffels, Colorado	471545	22366
Mt.Sneffels, Colorado	Mt.Lindsey, Colorado	435614	20288
LittleBear Peak, Colorado	Mt.Sneffels, Colorado	405556	20244
Mt.Sherman, Colorado	Mt.Sneffels, Colorado	377413	18393
Redcloud Peak, Colorado	Mt.Sneffels, Colorado	264707	15503
Pyramid Peak, Colorado	Mt.Sneffels, Colorado	304041	16761
NorthMaroon Peak, Colorado	Mt.Sneffels, Colorado	304074	16754
Wilson Peak, Colorado	Mt.Sneffels, Colorado	92444	7038
Wetterhorn Peak, Colorado	Mt.Sneffels, Colorado	51584	10066
Huron Peak, Colorado	Mt.Sneffels, Colorado	354558	18152
Sunshine Peak, Colorado	Mt.Sneffels, Colorado	261758	14843
Pikes Peak, Colorado	SnowmassMtn., Colorado	368826	20440
Challenger Point, Colorado	Pikes Peak, Colorado	282891	13794
Pikes Peak, Colorado	Mt.Columbia, Colorado	177901	10313
Humboldt Peak, Colorado	Pikes Peak, Colorado	196518	12132
Mt.Bierstadt, Colorado	Pikes Peak, Colorado	171975	10797
Conundrum Peak, Colorado	Pikes Peak, Colorado	289092	16095
Pikes Peak, Colorado	Handies Peak, Colorado	419528	26702
Culebra Peak, Colorado	Pikes Peak, Colorado	327016	15177
Pikes Peak, Colorado	Mt.Lindsey, Colorado	273937	12426
LittleBear Peak, Colorado	Pikes Peak, Colorado	300706	14575
Mt.Sherman, Colorado	Pikes Peak, Colorado	230972	12370
Redcloud Peak, Colorado	Pikes Peak, Colorado	407339	21209
Pikes Peak, Colorado	Pyramid Peak, Colorado	281943	16280
Pikes Peak, Colorado	NorthMaroon Peak, Colorado	281976	16273
Wilson Peak, Colorado	Pikes Peak, Colorado	495015	23452
Wetterhorn Peak, Colorado	Pikes Peak, Colorado	396857	21599
Huron Peak, Colorado	Pikes Peak, Colorado	208117	12130
Sunshine Peak, Colorado	Pikes Peak, Colorado	404390	20549
Challenger Point, Colorado	SnowmassMtn., Colorado	330940	17158
Mt.Columbia, Colorado	SnowmassMtn., Colorado	212503	12875
Humboldt Peak, Colorado	SnowmassMtn., Colorado	346635	19650
Mt.Bierstadt, Colorado	SnowmassMtn., Colorado	277517	13524
Conundrum Peak, Colorado	SnowmassMtn., Colorado	124122	7926
Handies Peak, Colorado	SnowmassMtn., Colorado	247635	16780
Culebra Peak, Colorado	SnowmassMtn., Colorado	460456	22746
Mt.Lindsey, Colorado	SnowmassMtn., Colorado	424525	20668
LittleBear Peak, Colorado	SnowmassMtn., Colorado	394466	20624
Mt.Sherman, Colorado	SnowmassMtn., Colorado	232483	12717
Redcloud Peak, Colorado	SnowmassMtn., Colorado	302075	17785
Pyramid Peak, Colorado	SnowmassMtn., Colorado	116974	8110
NorthMaroon Peak, Colorado	SnowmassMtn., Colorado	117006	8103
Wilson Peak, Colorado	SnowmassMtn., Colorado	263301	14057
Wetterhorn Peak, Colorado	SnowmassMtn., Colorado	291593	18175
Huron Peak, Colorado	SnowmassMtn., Colorado	200590	13200
Sunshine Peak, Colorado	SnowmassMtn., Colorado	299126	17125
Challenger Point, Colorado	Mt.Columbia, Colorado	139968	7043
Humboldt Peak, Colorado	Challenger Point, Colorado	196752	10473
Mt.Bierstadt, Colorado	Challenger Point, Colorado	244451	10636
Conundrum Peak, Colorado	Challenger Point, Colorado	251159	12825
Challenger Point, Colorado	Handies Peak, Colorado	274802	19647
Culebra Peak, Colorado	Challenger Point, Colorado	177015	8858
Challenger Point, Colorado	Mt.Lindsey, Colorado	141084	6781
LittleBear Peak, Colorado	Challenger Point, Colorado	111025	6736
Mt.Sherman, Colorado	Challenger Point, Colorado	193039	9100
Redcloud Peak, Colorado	Challenger Point, Colorado	255521	13647
Challenger Point, Colorado	Pyramid Peak, Colorado	244010	13010
Challenger Point, Colorado	NorthMaroon Peak, Colorado	244043	13003
Wilson Peak, Colorado	Challenger Point, Colorado	369948	17179
Wetterhorn Peak, Colorado	Challenger Point, Colorado	252131	14544
Huron Peak, Colorado	Challenger Point, Colorado	170184	8860
Sunshine Peak, Colorado	Challenger Point, Colorado	252571	12987
Humboldt Peak, Colorado	Mt.Columbia, Colorado	155787	9556
Mt.Bierstadt, Colorado	Mt.Columbia, Colorado	139785	7217
Conundrum Peak, Colorado	Mt.Columbia, Colorado	132846	8573
Mt.Columbia, Colorado	Handies Peak, Colorado	276729	19972
Culebra Peak, Colorado	Mt.Columbia, Colorado	269608	12653
Mt.Columbia, Colorado	Mt.Lindsey, Colorado	233677	10575
LittleBear Peak, Colorado	Mt.Columbia, Colorado	203618	10531
Mt.Sherman, Colorado	Mt.Columbia, Colorado	74726	4849
Redcloud Peak, Colorado	Mt.Columbia, Colorado	264540	14480
Mt.Columbia, Colorado	Pyramid Peak, Colorado	125697	8758
NorthMaroon Peak, Colorado	Mt.Columbia, Colorado	125730	8751
Wilson Peak, Colorado	Mt.Columbia, Colorado	352216	16723
Wetterhorn Peak, Colorado	Mt.Columbia, Colorado	254058	14869
Huron Peak, Colorado	Mt.Columbia, Colorado	51871	4608
Sunshine Peak, Colorado	Mt.Columbia, Colorado	261591	13820
Humboldt Peak, Colorado	Mt.Bierstadt, Colorado	260952	12996
Humboldt Peak, Colorado	Conundrum Peak, Colorado	265364	15334
Humboldt Peak, Colorado	Handies Peak, Colorado	333571	23549
