waypoint1	waypoint2	distance_m	duration_s
Uncompahgre Peak, Colorado	Mt.Princeton, Colorado	254139	14590
Mt.Belford, Colorado	Uncompahgre Peak, Colorado	270645	14127
Mt.Yale, Colorado	Uncompahgre Peak, Colorado	253069	13104
Crestone, Colorado	Uncompahgre Peak, Colorado	243434	12558
Mt.Bross, Colorado	Uncompahgre Peak, Colorado	310492	15531
KitCarson, Colorado	Uncompahgre Peak, Colorado	550447	24553
Tabeguache Peak, Colorado	Uncompahgre Peak, Colorado	198352	11816
Uncompahgre Peak, Colorado	Mt.Oxford, Colorado	268368	13889
ElDiente Peak, Colorado	Uncompahgre Peak, Colorado	277064	15090
Mt.Democrat, Colorado	Uncompahgre Peak, Colorado	306066	15219
Mt.Sneffels, Colorado	Uncompahgre Peak, Colorado	249173	14687
Pikes Peak, Colorado	Uncompahgre Peak, Colorado	392292	19834
Uncompahgre Peak, Colorado	SnowmassMtn., Colorado	286457	16855
Challenger Point, Colorado	Uncompahgre Peak, Colorado	247060	13186
Mt.Columbia, Colorado	Uncompahgre Peak, Colorado	248992	13616
Humboldt Peak, Colorado	Uncompahgre Peak, Colorado	307326	17164
Mt.Bierstadt, Colorado	Uncompahgre Peak, Colorado	353475	17210
Conundrum Peak, Colorado	Uncompahgre Peak, Colorado	360183	19399
Uncompahgre Peak, Colorado	Handies Peak, Colorado	38306	8454
Culebra Peak, Colorado	Uncompahgre Peak, Colorado	298083	16443
Uncompahgre Peak, Colorado	Mt.Lindsey, Colorado	262152	14365
LittleBear Peak, Colorado	Uncompahgre Peak, Colorado	238555	14538
Mt.Sherman, Colorado	Uncompahgre Peak, Colorado	302063	15674
Redcloud Peak, Colorado	Uncompahgre Peak, Colorado	42810	5838
Pyramid Peak, Colorado	Uncompahgre Peak, Colorado	353034	19584
NorthMaroon Peak, Colorado	Uncompahgre Peak, Colorado	353067	19577
Wilson Peak, Colorado	Uncompahgre Peak, Colorado	277047	15087
Wetterhorn Peak, Colorado	Uncompahgre Peak, Colorado	15635	3351
Huron Peak, Colorado	Uncompahgre Peak, Colorado	279208	15433
Sunshine Peak, Colorado	Uncompahgre Peak, Colorado	39861	5178
Crestone Peak, Colorado	Mt.Lincoln, Colorado	221046	11614
Crestone Peak, Colorado	Castle Peak, Colorado	307498	17097
Crestone Peak, Colorado	Grays Peak, Colorado	272432	17893
Crestone Peak, Colorado	Mt.Antero, Colorado	157316	10179
Crestone Peak, Colorado	Torreys Peak, Colorado	282152	14915
Crestone Peak, Colorado	Quandary Peak, Colorado	222399	11502
Crestone Peak, Colorado	Mt.Evans, Colorado	352747	17164
Crestone Peak, Colorado	Mt.Wilson, Colorado	410600	20439
Crestone Peak, Colorado	Mt.Cameron, Colorado	219760	11482
Crestone Peak, Colorado	Mt.Shavano, Colorado	129302	8421
Crestone Peak, Colorado	Mt.Princeton, Colorado	160852	10663
Crestone Peak, Colorado	Mt.Belford, Colorado	177358	10200
Crestone Peak, Colorado	Mt.Yale, Colorado	159782	9177
Crestone Peak, Colorado	Crestone, Colorado	193274	10035
Crestone Peak, Colorado	Mt.Bross, Colorado	219501	11456
Crestone Peak, Colorado	KitCarson, Colorado	325627	14679
Crestone Peak, Colorado	Tabeguache Peak, Colorado	130830	8800
Crestone Peak, Colorado	Mt.Oxford, Colorado	175081	9962
Crestone Peak, Colorado	ElDiente Peak, Colorado	410607	20440
Crestone Peak, Colorado	Mt.Democrat, Colorado	215075	11144
Crestone Peak, Colorado	Mt.Sneffels, Colorado	382716	20037
Crestone Peak, Colorado	Pikes Peak, Colorado	196452	12054
Crestone Peak, Colorado	SnowmassMtn., Colorado	346630	19816
Crestone Peak, Colorado	Challenger Point, Colorado	196901	10663
Crestone Peak, Colorado	Mt.Columbia, Colorado	155705	9690
Crestone Peak, Colorado	Humboldt Peak, Colorado	1532	138
Crestone Peak, Colorado	Mt.Bierstadt, Colorado	262484	13134
Crestone Peak, Colorado	Conundrum Peak, Colorado	266896	15472
Crestone Peak, Colorado	Handies Peak, Colorado	335103	23687
Crestone Peak, Colorado	Culebra Peak, Colorado	169003	11238
Crestone Peak, Colorado	Mt.Lindsey, Colorado	115924	8488
Crestone Peak, Colorado	LittleBear Peak, Colorado	142694	10636
Crestone Peak, Colorado	Mt.Sherman, Colorado	208776	11747
Crestone Peak, Colorado	Redcloud Peak, Colorado	322915	18194
Crestone Peak, Colorado	Pyramid Peak, Colorado	259747	15657
Crestone Peak, Colorado	NorthMaroon Peak, Colorado	259780	15650
Crestone Peak, Colorado	Wilson Peak, Colorado	410590	20437
Crestone Peak, Colorado	Wetterhorn Peak, Colorado	312433	18584
Crestone Peak, Colorado	Huron Peak, Colorado	185921	11506
Crestone Peak, Colorado	Sunshine Peak, Colorado	319965	17535
Mt.Lincoln, Colorado	Castle Peak, Colorado	153911	9368
Grays Peak, Colorado	Mt.Lincoln, Colorado	70012	8523
Mt.Antero, Colorado	Mt.Lincoln, Colorado	117801	6890
Mt.Lincoln, Colorado	Torreys Peak, Colorado	81144	5942
Quandary Peak, Colorado	Mt.Lincoln, Colorado	19980	2132
Mt.Evans, Colorado	Mt.Lincoln, Colorado	149231	9084
Mt.Wilson, Colorado	Mt.Lincoln, Colorado	415337	18826
Mt.Lincoln, Colorado	Mt.Cameron, Colorado	1287	132
Mt.Lincoln, Colorado	Mt.Shavano, Colorado	134039	6808
Mt.Lincoln, Colorado	Mt.Princeton, Colorado	103361	6659
Mt.Lincoln, Colorado	Mt.Belford, Colorado	119867	6196
Mt.Lincoln, Colorado	Mt.Yale, Colorado	102291	5173
Mt.Lincoln, Colorado	Crestone, Colorado	199578	8538
Mt.Lincoln, Colorado	Mt.Bross, Colorado	1546	158
Mt.Lincoln, Colorado	KitCarson, Colorado	343755	14134
Mt.Lincoln, Colorado	Tabeguache Peak, Colorado	135568	7187
Mt.Lincoln, Colorado	Mt.Oxford, Colorado	117590	5959
Mt.Lincoln, Colorado	ElDiente Peak, Colorado	415345	18827
Mt.Lincoln, Colorado	Mt.Democrat, Colorado	23641	2191
Mt.Lincoln, Colorado	Mt.Sneffels, Colorado	387454	18424
Mt.Lincoln, Colorado	Pikes Peak, Colorado	172450	9345
Mt.Lincoln, Colorado	SnowmassMtn., Colorado	260613	13525
Mt.Lincoln, Colorado	Challenger Point, Colorado	203204	9166
Mt.Lincoln, Colorado	Mt.Columbia, Colorado	98214	5686
Humboldt Peak, Colorado	Mt.Lincoln, Colorado	221029	11413
Mt.Bierstadt, Colorado	Mt.Lincoln, Colorado	90089	5172
Mt.Lincoln, Colorado	Conundrum Peak, Colorado	209405	11468
Mt.Lincoln, Colorado	Handies Peak, Colorado	339841	22074
Culebra Peak, Colorado	Mt.Lincoln, Colorado	332719	14754
Mt.Lincoln, Colorado	Mt.Lindsey, Colorado	296789	12677
LittleBear Peak, Colorado	Mt.Lincoln, Colorado	266730	12632
Mt.Sherman, Colorado	Mt.Lincoln, Colorado	105175	7124
Redcloud Peak, Colorado	Mt.Lincoln, Colorado	327652	16582
Mt.Lincoln, Colorado	Pyramid Peak, Colorado	202256	11653
Mt.Lincoln, Colorado	NorthMaroon Peak, Colorado	202289	11646
Wilson Peak, Colorado	Mt.Lincoln, Colorado	415327	18824
Mt.Lincoln, Colorado	Wetterhorn Peak, Colorado	317170	16971
Mt.Lincoln, Colorado	Huron Peak, Colorado	128429	7503
Mt.Lincoln, Colorado	Sunshine Peak, Colorado	324703	15922
Grays Peak, Colorado	Castle Peak, Colorado	146402	11496
Mt.Antero, Colorado	Castle Peak, Colorado	200942	12042
Castle Peak, Colorado	Torreys Peak, Colorado	147260	8426
Quandary Peak, Colorado	Castle Peak, Colorado	143334	8268
Mt.Evans, Colorado	Castle Peak, Colorado	215346	11567
Mt.Wilson, Colorado	Castle Peak, Colorado	397651	18172
Castle Peak, Colorado	Mt.Cameron, Colorado	155597	9252
Castle Peak, Colorado	Mt.Shavano, Colorado	222964	12124
Castle Peak, Colorado	Mt.Princeton, Colorado	187177	11767
Castle Peak, Colorado	Mt.Belford, Colorado	153215	9219
Mt.Yale, Colorado	Castle Peak, Colorado	183599	10073
Castle Peak, Colorado	Crestone, Colorado	288502	13854
Castle Peak, Colorado	Mt.Bross, Colorado	155338	9226
KitCarson, Colorado	Castle Peak, Colorado	465011	18098
Tabeguache Peak, Colorado	Castle Peak, Colorado	224492	12504
Castle Peak, Colorado	Mt.Oxford, Colorado	150938	8981
Castle Peak, Colorado	ElDiente Peak, Colorado	397658	18173
Castle Peak, Colorado	Mt.Democrat, Colorado	161898	9338
Castle Peak, Colorado	Mt.Sneffels, Colorado	369767	17770
Castle Peak, Colorado	Pikes Peak, Colorado	310707	16492
Castle Peak, Colorado	SnowmassMtn., Colorado	148975	9714
Challenger Point, Colorado	Castle Peak, Colorado	292128	14482
Castle Peak, Colorado	Mt.Columbia, Colorado	173691	10200
Humboldt Peak, Colorado	Castle Peak, Colorado	307823	16974
Mt.Bierstadt, Colorado	Castle Peak, Colorado	170862	9287
Conundrum Peak, Colorado	Castle Peak, Colorado	157007	9413
Castle Peak, Colorado	Handies Peak, Colorado	381975	20894
Culebra Peak, Colorado	Castle Peak, Colorado	421644	20071
Castle Peak, Colorado	Mt.Lindsey, Colorado	385713	17993
LittleBear Peak, Colorado	Castle Peak, Colorado	355654	17949
Mt.Sherman, Colorado	Castle Peak, Colorado	125827	8480
Redcloud Peak, Colorado	Castle Peak, Colorado	416576	21898
Castle Peak, Colorado	Pyramid Peak, Colorado	149859	9597
Castle Peak, Colorado	NorthMaroon Peak, Colorado	149892	9590
Wilson Peak, Colorado	Castle Peak, Colorado	397641	18170
Wetterhorn Peak, Colorado	Castle Peak, Colorado	406094	22288
Huron Peak, Colorado	Castle Peak, Colorado	161778	10525
Sunshine Peak, Colorado	Castle Peak, Colorado	413627	21238
Mt.Antero, Colorado	Grays Peak, Colorado	174683	12982
Grays Peak, Colorado	Torreys Peak, Colorado	51902	7636
Quandary Peak, Colorado	Grays Peak, Colorado	56888	7410
Mt.Evans, Colorado	Grays Peak, Colorado	119989	10777
Mt.Wilson, Colorado	Grays Peak, Colorado	501593	24111
Grays Peak, Colorado	Mt.Cameron, Colorado	69150	8395
Grays Peak, Colorado	Mt.Shavano, Colorado	185850	13097
Grays Peak, Colorado	Mt.Princeton, Colorado	160918	12707
Grays Peak, Colorado	Mt.Belford, Colorado	126956	10158
Grays Peak, Colorado	Mt.Yale, Colorado	157340	11012
Grays Peak, Colorado	Crestone, Colorado	251388	14828
Grays Peak, Colorado	Mt.Bross, Colorado	68892	8368
Grays Peak, Colorado	KitCarson, Colorado	369654	17308
Grays Peak, Colorado	Tabeguache Peak, Colorado	187378	13477
Grays Peak, Colorado	Mt.Oxford, Colorado	124679	9921
Grays Peak, Colorado	ElDiente Peak, Colorado	501601	24112
Grays Peak, Colorado	Mt.Democrat, Colorado	75452	8481
Grays Peak, Colorado	Mt.Sneffels, Colorado	473709	23708
Grays Peak, Colorado	Pikes Peak, Colorado	224260	15635
Grays Peak, Colorado	SnowmassMtn., Colorado	252917	15653
Grays Peak, Colorado	Challenger Point, Colorado	255014	15456
Grays Peak, Colorado	Mt.Columbia, Colorado	147431	11140
Humboldt Peak, Colorado	Grays Peak, Colorado	272840	17702
Mt.Bierstadt, Colorado	Grays Peak, Colorado	75505	8497
Grays Peak, Colorado	Conundrum Peak, Colorado	202650	14892
Grays Peak, Colorado	Handies Peak, Colorado	485917	26832
Culebra Peak, Colorado	Grays Peak, Colorado	384530	21044
Grays Peak, Colorado	Mt.Lindsey, Colorado	348599	18966
LittleBear Peak, Colorado	Grays Peak, Colorado	318541	18922
Mt.Sherman, Colorado	Grays Peak, Colorado	97480	9251
Redcloud Peak, Colorado	Grays Peak, Colorado	379463	22871
Grays Peak, Colorado	Pyramid Peak, Colorado	195501	15077
Grays Peak, Colorado	NorthMaroon Peak, Colorado	195534	15070
Wilson Peak, Colorado	Grays Peak, Colorado	501583	24109
Grays Peak, Colorado	Wetterhorn Peak, Colorado	368981	23261
Grays Peak, Colorado	Huron Peak, Colorado	135518	11465
Grays Peak, Colorado	Sunshine Peak, Colorado	376514	22211
Mt.Antero, Colorado	Torreys Peak, Colorado	175353	9856
Mt.Antero, Colorado	Quandary Peak, Colorado	119100	6740
Mt.Antero, Colorado	Mt.Evans, Colorado	243440	12997
Mt.Antero, Colorado	Mt.Wilson, Colorado	353833	17200
Mt.Antero, Colorado	Mt.Cameron, Colorado	116460	6720
Mt.Antero, Colorado	Mt.Shavano, Colorado	72535	5182
Mt.Antero, Colorado	Mt.Princeton, Colorado	47238	5510
Mt.Antero, Colorado	Mt.Belford, Colorado	70559	5141
Mt.Antero, Colorado	Mt.Yale, Colorado	50544	3890
Mt.Antero, Colorado	Crestone, Colorado	138073	6912
Mt.Antero, Colorado	Mt.Bross, Colorado	116202	6694
Mt.Antero, Colorado	KitCarson, Colorado	369307	15785
Mt.Antero, Colorado	Tabeguache Peak, Colorado	74063	5562
Mt.Antero, Colorado	Mt.Oxford, Colorado	68282	4903
Mt.Antero, Colorado	ElDiente Peak, Colorado	353841	17201
Mt.Antero, Colorado	Mt.Democrat, Colorado	111776	6382
Mt.Antero, Colorado	Mt.Sneffels, Colorado	325949	16798
Mt.Antero, Colorado	Pikes Peak, Colorado	198001	10996
Mt.Antero, Colorado	SnowmassMtn., Colorado	239832	14757
Mt.Antero, Colorado	Challenger Point, Colorado	141699	7540
Mt.Antero, Colorado	Mt.Columbia, Colorado	48969	4552
Mt.Antero, Colorado	Humboldt Peak, Colorado	157394	10032
Mt.Antero, Colorado	Mt.Bierstadt, Colorado	159185	8372
Mt.Antero, Colorado	Conundrum Peak, Colorado	160097	10413
Mt.Antero, Colorado	Handies Peak, Colorado	278337	20448
Mt.Antero, Colorado	Culebra Peak, Colorado	271215	13129
Mt.Antero, Colorado	Mt.Lindsey, Colorado	235284	11051
Mt.Antero, Colorado	LittleBear Peak, Colorado	205226	11007
Mt.Antero, Colorado	Mt.Sherman, Colorado	101978	6688
